Number of variables: n = 6
GF extension exponent: l = 3
Polynomials' degree: b = 1
Total number of polynomials in file: 9
Bent functions type: PS+
Number of polynomials needed for a single function: t = 5

Function: 99C3A53369550FFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 
Function: C947A9B14B3517FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_6(X) = X^1 + X + 4 
Function: D1C52D932B651BFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 
Function: 59878DA363711DFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 
Function: D8C6ACB26A741EFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 
Function: D9C7ADB36B751F01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_6(X) = X^1 + X + 4 
Function: 8B53E1394D9527FF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_7(X) = X^1 + X + 5 
Function: 93D1651B2DC52BFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_5(X) = X^1 + X + 3 	p_7(X) = X^1 + X + 5 
Function: 1B93C52B65D12DFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X^1 + X 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_7(X) = X^1 + X + 5 
Function: 9AD2E43A6CD42EFF nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_7(X) = X^1 + X + 5 
Function: 9BD3E53B6DD52F01 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X^1 + X 	p_3(X) = X^1 + X + 1 	p_4(X) = X^1 + X + 2 	p_5(X) = X^1 + X + 3 	p_7(X) = X^1 + X + 5 
