Number of variables: n = 6
GF extension exponent: l = 3
Polynomials' degree: b = 1
Total number of polynomials in file: 9
Bent functions type: PS-
Number of polynomials needed for a single function: t = 4

Function: 8943A131491507FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_3(X) = X + 1 	p_4(X) = X + 2 
Function: 91C1251329450BFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_3(X) = X + 1 	p_5(X) = X + 3 
Function: 1983852361510DFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_4(X) = X + 2 	p_5(X) = X + 3 
Function: 98C2A43268540EFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X + 1 	p_4(X) = X + 2 	p_5(X) = X + 3 
Function: 99C3A53369550F00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_3(X) = X + 1 	p_4(X) = X + 2 	p_5(X) = X + 3 
Function: C14529910B2513FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_3(X) = X + 1 	p_6(X) = X + 4 
Function: 490789A1433115FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_4(X) = X + 2 	p_6(X) = X + 4 
Function: C846A8B04A3416FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X + 1 	p_4(X) = X + 2 	p_6(X) = X + 4 
Function: C947A9B14B351700 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_3(X) = X + 1 	p_4(X) = X + 2 	p_6(X) = X + 4 
Function: 51850D83236119FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_5(X) = X + 3 	p_6(X) = X + 4 
Function: D0C42C922A641AFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X + 1 	p_5(X) = X + 3 	p_6(X) = X + 4 
Function: D1C52D932B651B00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_3(X) = X + 1 	p_5(X) = X + 3 	p_6(X) = X + 4 
Function: 58868CA262701CFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_4(X) = X + 2 	p_5(X) = X + 3 	p_6(X) = X + 4 
Function: 59878DA363711D00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_4(X) = X + 2 	p_5(X) = X + 3 	p_6(X) = X + 4 
Function: D8C6ACB26A741E00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_3(X) = X + 1 	p_4(X) = X + 2 	p_5(X) = X + 3 	p_6(X) = X + 4 
Function: 835161190D8523FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_3(X) = X + 1 	p_7(X) = X + 5 
Function: 0B13C129459125FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_4(X) = X + 2 	p_7(X) = X + 5 
Function: 8A52E0384C9426FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X + 1 	p_4(X) = X + 2 	p_7(X) = X + 5 
Function: 8B53E1394D952700 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_3(X) = X + 1 	p_4(X) = X + 2 	p_7(X) = X + 5 
Function: 1391450B25C129FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_5(X) = X + 3 	p_7(X) = X + 5 
Function: 92D0641A2CC42AFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X + 1 	p_5(X) = X + 3 	p_7(X) = X + 5 
Function: 93D1651B2DC52B00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_3(X) = X + 1 	p_5(X) = X + 3 	p_7(X) = X + 5 
Function: 1A92C42A64D02CFE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_4(X) = X + 2 	p_5(X) = X + 3 	p_7(X) = X + 5 
Function: 1B93C52B65D12D00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_4(X) = X + 2 	p_5(X) = X + 3 	p_7(X) = X + 5 
Function: 9AD2E43A6CD42E00 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_3(X) = X + 1 	p_4(X) = X + 2 	p_5(X) = X + 3 	p_7(X) = X + 5 
Function: 4315498907A131FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_2(X) = X 	p_6(X) = X + 4 	p_7(X) = X + 5 
Function: C25468980EA432FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_3(X) = X + 1 	p_6(X) = X + 4 	p_7(X) = X + 5 
Function: C35569990FA53300 nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_2(X) = X 	p_3(X) = X + 1 	p_6(X) = X + 4 	p_7(X) = X + 5 
Function: 4A16C8A846B034FE nl: 28 deg: 3 2-Rank: 14 Polynomials list:	p_1(X) = 1 	p_4(X) = X + 2 	p_6(X) = X + 4 	p_7(X) = X + 5 
