Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS+
Number of polynomials needed for a single function: t = 9

Function: E1175C1D31AB7CA1C91D1E1B1367CB61A19B165711EDA6D10EE9E0E5EE03FFFF nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 
Function: 65171E1D19AB6DA1C15D1A3B11E7CA71E11B361791CDB6C10EE5E0E3EE09FFFF nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: A5175E0D39A975A1C9551C3B03E7CB31E09B3653916D96D10ECD60E7EA0BFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E513561D29AB7D81C85D1E3913A74B71C19B364791E5B2D10E6DA0E7EC0BFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C5175E1938AB7D21C94D163B13E58B71E193265791ADB4D10AEDE0C76E0BFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5075A1D39A35DA1C9590E3B13C7C371619B365590EDB6910CEDE067AE0BFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5154E1D392B79A1895D1E3312E7CB51E18B345791E936D106EDE0A7CE0BFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E4175E15398B3DA1495D1E2B13E3C971E199325781EDB6510EADC0E7E60BFFFF nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5165E1C39AA7DA0C95C1E3A13E6CB70E19A365691ECB6D00EECE0E6EE0AFFFF nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5175E1D39AB7DA1C95D1E3B13E7CB71E19B365791EDB6D10EEDE0E7EE0B0001 nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: 61371C9D11EB6CB1E11D9A1B5167DA61A31B1E1715CDA7C10EE3E0E9EE05FFFF nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_11(X) = X^2 + 2 
